Occupation,Count,Share,HISCO Code,HISCO Description
Direktör,17592,10.9,21110.0,General Manager
Professor,10498,6.5,13100.0,"University and Higher Education Teacher, Subject Unknown"
Civilingenjör,5088,3.15,2210.0,"Civil Engineer, General"
professor emeritus,3684,2.28,13100.0,"University and Higher Education Teacher, Subject Unknown"
Advokat,2954,1.83,12110.0,Lawyer
konstnär,2743,1.7,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
redaktör,2708,1.68,15920.0,"Editor, Newspapers and Periodicals"
författare,2472,1.53,15120.0,Author
Överste,2420,1.5,58320.0,Officer
Tandläkare,2283,1.41,6310.0,"Dentist, General"
