Decade,Occupation,Count,Share,HISCO Code,HISCO Description
0s,Före detta förbundsordförande,2,14.29,20110.0,Legislative Official
0s,operasångare,1,7.14,17145.0,Singer
0s,Före detta kyrkoherde,1,7.14,14120.0,Minister of Religion
0s,"Konsul, direktör",1,7.14,21110.0,General Manager
0s,förste marinläkare,1,7.14,6105.0,General Physician
0s,Kyrkoherde,1,7.14,14120.0,Minister of Religion
0s,Verkmästare,1,7.14,22610.0,"Production Supervisor or Foreman, General"
0s,"fd chefredaktör, professor",1,7.14,15920.0,"Editor, Newspapers and Periodicals"
0s,fd inrikeschef TT,1,7.14,N/A,N/A
0s,Länsskolpsykolog,1,7.14,N/A,N/A
10s,civilingenjör,1,50.0,2210.0,"Civil Engineer, General"
10s,Direktör,1,50.0,21110.0,General Manager
1610s,generalmajor,1,100.0,58320.0,Officer
1770s,f.d. överste,1,100.0,58320.0,Officer
1790s,"Läroverksadjunkt, rektor",1,100.0,13200.0,"Secondary Education Teacher, Subject Unknown"
1800s,professor,9,8.41,13100.0,"University and Higher Education Teacher, Subject Unknown"
1800s,"Pastor, sångare",7,6.54,N/A,N/A
1800s,Generallöjtnant,6,5.61,58320.0,Officer
1800s,professor emeritus,5,4.67,13100.0,"University and Higher Education Teacher, Subject Unknown"
1800s,Konteramiral,5,4.67,58320.0,Officer
1800s,Professor,5,4.67,13100.0,"University and Higher Education Teacher, Subject Unknown"
1800s,Balettmästare,5,4.67,17220.0,Choreographer
1800s,advokat,4,3.74,12110.0,Lawyer
1800s,Kommendör 1 graden,3,2.8,58320.0,Officer
1800s,Professor emeritus,3,2.8,13100.0,"University and Higher Education Teacher, Subject Unknown"
1810s,Kommendör,11,11.83,58320.0,Officer
1810s,Direktör,9,9.68,21110.0,General Manager
1810s,Professor,7,7.53,13100.0,"University and Higher Education Teacher, Subject Unknown"
1810s,Generallöjtnant,6,6.45,58320.0,Officer
1810s,överste 1 graden,4,4.3,58320.0,Officer
1810s,överste,3,3.23,58320.0,Officer
1810s,Överste 1 graden,3,3.23,58320.0,Officer
1810s,professor,3,3.23,13100.0,"University and Higher Education Teacher, Subject Unknown"
1810s,Generalmajor,3,3.23,58320.0,Officer
1810s,lagman,3,3.23,12210.0,Judge
1820s,riddarhusgenealog,1,33.33,N/A,N/A
1820s,Riddarhusgenealog,1,33.33,N/A,N/A
1820s,före detta direktör,1,33.33,N/A,N/A
1830s,Grosshandlare,4,7.02,41020.0,Working Proprietor (Wholesale Trade)
1830s,Professor,4,7.02,13100.0,"University and Higher Education Teacher, Subject Unknown"
1830s,Lantbrukare,3,5.26,61110.0,General Farmer
1830s,Bruksägare,2,3.51,N/A,N/A
1830s,Direktör,2,3.51,21110.0,General Manager
1830s,Filosofie Doktor,2,3.51,-1.0,"Missing, no title"
1830s,konstnär,1,1.75,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1830s,Generalmajor,1,1.75,58320.0,Officer
1830s,professor,1,1.75,13100.0,"University and Higher Education Teacher, Subject Unknown"
1830s,länsveterinär,1,1.75,6510.0,"Veterinarian, General"
1840s,Professor,27,5.93,13100.0,"University and Higher Education Teacher, Subject Unknown"
1840s,Grosshandlare,10,2.2,41020.0,Working Proprietor (Wholesale Trade)
1840s,Direktör,9,1.98,21110.0,General Manager
1840s,direktör,7,1.54,21110.0,General Manager
1840s,Godsägare,6,1.32,-1.0,"Missing, no title"
1840s,före detta rektor,6,1.32,13940.0,Head Teacher
1840s,före detta lektor,6,1.32,13030.0,"Teacher, Level and Subject Unknown, Not Primary Education"
1840s,Kontraktsprost,5,1.1,14120.0,Minister of Religion
1840s,grosshandlare,5,1.1,41020.0,Working Proprietor (Wholesale Trade)
1840s,borgmästare,5,1.1,20110.0,Legislative Official
1850s,Professor,56,3.51,13100.0,"University and Higher Education Teacher, Subject Unknown"
1850s,Direktör,52,3.26,21110.0,General Manager
1850s,professor,38,2.38,13100.0,"University and Higher Education Teacher, Subject Unknown"
1850s,Överste,34,2.13,58320.0,Officer
1850s,Godsägare,29,1.82,-1.0,"Missing, no title"
1850s,direktör,28,1.75,21110.0,General Manager
1850s,Bankdirektör,19,1.19,21110.0,General Manager
1850s,Kontraktsprost,19,1.19,14120.0,Minister of Religion
1850s,Grosshandlare,17,1.07,41020.0,Working Proprietor (Wholesale Trade)
1850s,lektor,17,1.07,13030.0,"Teacher, Level and Subject Unknown, Not Primary Education"
1860s,Direktör,151,3.3,21110.0,General Manager
1860s,Professor,144,3.15,13100.0,"University and Higher Education Teacher, Subject Unknown"
1860s,professor,101,2.21,13100.0,"University and Higher Education Teacher, Subject Unknown"
1860s,Överste,68,1.49,58320.0,Officer
1860s,direktör,65,1.42,21110.0,General Manager
1860s,Redaktör,63,1.38,15920.0,"Editor, Newspapers and Periodicals"
1860s,lektor,52,1.14,13030.0,"Teacher, Level and Subject Unknown, Not Primary Education"
1860s,författare,52,1.14,15120.0,Author
1860s,redaktör,51,1.11,15920.0,"Editor, Newspapers and Periodicals"
1860s,konstnär,49,1.07,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1870s,Direktör,588,6.57,21110.0,General Manager
1870s,direktör,219,2.45,21110.0,General Manager
1870s,Professor,199,2.22,13100.0,"University and Higher Education Teacher, Subject Unknown"
1870s,professor,150,1.68,13100.0,"University and Higher Education Teacher, Subject Unknown"
1870s,Civilingenjör,139,1.55,2210.0,"Civil Engineer, General"
1870s,Överste,132,1.48,58320.0,Officer
1870s,Grosshandlare,97,1.08,41020.0,Working Proprietor (Wholesale Trade)
1870s,Bankdirektör,97,1.08,21110.0,General Manager
1870s,Redaktör,95,1.06,15920.0,"Editor, Newspapers and Periodicals"
1870s,Disponent,92,1.03,21110.0,General Manager
1880s,Direktör,1072,6.26,21110.0,General Manager
1880s,Professor,433,2.53,13100.0,"University and Higher Education Teacher, Subject Unknown"
1880s,Civilingenjör,332,1.94,2210.0,"Civil Engineer, General"
1880s,professor,312,1.82,13100.0,"University and Higher Education Teacher, Subject Unknown"
1880s,direktör,252,1.47,21110.0,General Manager
1880s,Disponent,227,1.32,21110.0,General Manager
1880s,Överste,193,1.13,58320.0,Officer
1880s,Bankdirektör,191,1.11,21110.0,General Manager
1880s,Advokat,182,1.06,12110.0,Lawyer
1880s,Rektor,170,0.99,13940.0,Head Teacher
1890s,Direktör,1725,7.17,21110.0,General Manager
1890s,Civilingenjör,707,2.94,2210.0,"Civil Engineer, General"
1890s,Professor,558,2.32,13100.0,"University and Higher Education Teacher, Subject Unknown"
1890s,Överste,527,2.19,58320.0,Officer
1890s,direktör,511,2.12,21110.0,General Manager
1890s,professor,369,1.53,13100.0,"University and Higher Education Teacher, Subject Unknown"
1890s,Advokat,316,1.31,12110.0,Lawyer
1890s,Kyrkoherde,307,1.28,14120.0,Minister of Religion
1890s,Disponent,299,1.24,21110.0,General Manager
1890s,civilingenjör,289,1.2,2210.0,"Civil Engineer, General"
1900s,Direktör,2525,7.35,21110.0,General Manager
1900s,Professor,1235,3.59,13100.0,"University and Higher Education Teacher, Subject Unknown"
1900s,direktör,960,2.79,21110.0,General Manager
1900s,Civilingenjör,832,2.42,2210.0,"Civil Engineer, General"
1900s,professor,776,2.26,13100.0,"University and Higher Education Teacher, Subject Unknown"
1900s,Advokat,732,2.13,12110.0,Lawyer
1900s,Överste,574,1.67,58320.0,Officer
1900s,tandläkare,499,1.45,6310.0,"Dentist, General"
1900s,civilingenjör,444,1.29,2210.0,"Civil Engineer, General"
1900s,Professor emeritus,414,1.21,13100.0,"University and Higher Education Teacher, Subject Unknown"
1910s,Direktör,2409,8.26,21110.0,General Manager
1910s,Professor,1182,4.05,13100.0,"University and Higher Education Teacher, Subject Unknown"
1910s,direktör,1113,3.82,21110.0,General Manager
1910s,professor,987,3.38,13100.0,"University and Higher Education Teacher, Subject Unknown"
1910s,Civilingenjör,553,1.9,2210.0,"Civil Engineer, General"
1910s,civilingenjör,470,1.61,2210.0,"Civil Engineer, General"
1910s,Professor emeritus,469,1.61,13100.0,"University and Higher Education Teacher, Subject Unknown"
1910s,Advokat,453,1.55,12110.0,Lawyer
1910s,professor emeritus,376,1.29,13100.0,"University and Higher Education Teacher, Subject Unknown"
1910s,Överste,357,1.22,58320.0,Officer
1920s,Direktör,1603,8.45,21110.0,General Manager
1920s,direktör,962,5.07,21110.0,General Manager
1920s,Professor,919,4.85,13100.0,"University and Higher Education Teacher, Subject Unknown"
1920s,professor,774,4.08,13100.0,"University and Higher Education Teacher, Subject Unknown"
1920s,Professor emeritus,372,1.96,13100.0,"University and Higher Education Teacher, Subject Unknown"
1920s,civilingenjör,360,1.9,2210.0,"Civil Engineer, General"
1920s,Civilingenjör,352,1.86,2210.0,"Civil Engineer, General"
1920s,professor emeritus,301,1.59,13100.0,"University and Higher Education Teacher, Subject Unknown"
1920s,författare,279,1.47,15120.0,Author
1920s,Advokat,271,1.43,12110.0,Lawyer
1930s,Direktör,990,9.34,21110.0,General Manager
1930s,Professor,717,6.76,13100.0,"University and Higher Education Teacher, Subject Unknown"
1930s,professor,717,6.76,13100.0,"University and Higher Education Teacher, Subject Unknown"
1930s,direktör,679,6.41,21110.0,General Manager
1930s,författare,294,2.77,15120.0,Author
1930s,civilingenjör,193,1.82,2210.0,"Civil Engineer, General"
1930s,tandläkare,165,1.56,6310.0,"Dentist, General"
1930s,Konstnär,134,1.26,16000.0,"Sculptor, Painter, Photographer or Related Creative Artist, Specialisation Unknown"
1930s,ambassadör,129,1.22,20210.0,Government Administrator
1930s,Redaktör,127,1.2,15920.0,"Editor, Newspapers and Periodicals"
1940s,Direktör,654,13.32,21110.0,General Manager
1940s,direktör,449,9.14,21110.0,General Manager
1940s,Professor,218,4.44,13100.0,"University and Higher Education Teacher, Subject Unknown"
1940s,professor,216,4.4,13100.0,"University and Higher Education Teacher, Subject Unknown"
1940s,författare,111,2.26,15120.0,Author
1940s,skådespelare,72,1.47,17320.0,Actor
1940s,redaktör,68,1.38,15920.0,"Editor, Newspapers and Periodicals"
1940s,Ambassadör,67,1.36,20210.0,Government Administrator
1940s,ambassadör,62,1.26,20210.0,Government Administrator
1940s,generaldirektör,55,1.12,21000.0,"Manager, Specialisation Unknown"
1950s,Direktör,69,7.41,21110.0,General Manager
1950s,direktör,44,4.73,21110.0,General Manager
1950s,författare,32,3.44,15120.0,Author
1950s,skådespelare,29,3.11,17320.0,Actor
1950s,Chefredaktör,19,2.04,15920.0,"Editor, Newspapers and Periodicals"
1950s,chefredaktör,19,2.04,15920.0,"Editor, Newspapers and Periodicals"
1950s,professor,18,1.93,13100.0,"University and Higher Education Teacher, Subject Unknown"
1950s,verkställande direktör,17,1.83,21110.0,General Manager
1950s,civilekonom,16,1.72,9010.0,"Economist, General"
1950s,Redaktör,15,1.61,15920.0,"Editor, Newspapers and Periodicals"
1960s,författare,14,9.59,15120.0,Author
1960s,Skidlöpare,7,4.79,N/A,N/A
1960s,Verkställande Direktör,5,3.42,21110.0,General Manager
1960s,Direktör,5,3.42,21110.0,General Manager
1960s,tennisspelare,5,3.42,N/A,N/A
1960s,idrottsman,4,2.74,N/A,N/A
1960s,musiker,4,2.74,17140.0,Instrumentalist
1960s,Sångare,4,2.74,17145.0,Singer
1960s,ishockeyspelare,3,2.05,N/A,N/A
1960s,simmare,3,2.05,13290.0,Other Secondary Education Teachers
1970s,Konsertpianist,4,66.67,17140.0,Instrumentalist
1970s,Direktör,1,16.67,21110.0,General Manager
1970s,artist,1,16.67,17000.0,"Composer or Performing Artist, Specialisation Unknown"
1980s,amiralitetsråd,1,100.0,20210.0,Government Administrator
1990s,Direktör,3,23.08,21110.0,General Manager
1990s,civilekonom,2,15.38,9010.0,"Economist, General"
1990s,Före detta rektor,1,7.69,13940.0,Head Teacher
1990s,Före detta Överste,1,7.69,58320.0,Officer
1990s,Redaktör,1,7.69,15920.0,"Editor, Newspapers and Periodicals"
1990s,författare,1,7.69,15120.0,Author
1990s,Överste,1,7.69,58320.0,Officer
1990s,Före detta Rektor,1,7.69,13940.0,Head Teacher
1990s,Författare,1,7.69,15120.0,Author
1990s,Civilekonom,1,7.69,9010.0,"Economist, General"
2000s,Redaktör,6,14.29,15920.0,"Editor, Newspapers and Periodicals"
2000s,Pianist,3,7.14,17140.0,Instrumentalist
2000s,direktör,3,7.14,21110.0,General Manager
2000s,Verkställande Direktör,3,7.14,21110.0,General Manager
2000s,Professor,3,7.14,13100.0,"University and Higher Education Teacher, Subject Unknown"
2000s,professor emeritus,2,4.76,13100.0,"University and Higher Education Teacher, Subject Unknown"
2000s,fd överste 1 graden,2,4.76,58320.0,Officer
2000s,Journalist,2,4.76,15915.0,Journalist
2000s,Före detta överste 1 graden,2,4.76,58320.0,Officer
2000s,dramaturg,2,4.76,N/A,N/A
2010s,ambassadör,1,25.0,20210.0,Government Administrator
2010s,Direktör,1,25.0,21110.0,General Manager
2010s,tandläkare,1,25.0,6310.0,"Dentist, General"
2010s,Ambassadör,1,25.0,20210.0,Government Administrator
